ds	vid	docid	20191224	20191225	20191226	20191227
20191224	1688849990394231	e2_AHcAoQbBAAcMHcB6UvGTKGHhnHiqg	1688849990394231	1688849990394231	1688849990394231	1688849990394231
20191224	1688849990394231	e2_AHcAoQbBAAcPV1fbBINRAGze8477w	1688849990394231	1688849990394231	1688849990394231	1688849990394231
20191224	1688849990394231	e2_AHcAoQbBAAcPV1fbBINRAGze8477w	1688849990394231	1688849990394231	1688849990394231	1688849990394231
20191224	1688849990430991	w2_AA8AMQbCAAc0DdQzaDgRKC0tmJPX7	1688849990430991	\N	\N	\N
20191224	1688849991397757	w2_AH0A8QbQAAcwdFlpUYgTryxiFXjyL	1688849991397757	\N	\N	\N
20191223	1688849992323258	w2_ALoAEAbfAAcA5dK1DvSTUyiVrUP27	\N	\N	\N	\N
20191224	1688849992394885	w2_AIUAKAbgAAcaRlYmKn6RHSAk3z1Pn	1688849992394885	1688849992394885	\N	\N
20191224	1688849992394885	w2_AIUAKAbgAAcaRlYmKn6RHSAk3z1Pn	1688849992394885	1688849992394885	\N	\N
20191224	1688849992394885	w2_AIUAKAbgAAcaRlYmKn6RHSAk3z1Pn	1688849992394885	1688849992394885	\N	\N
20191224	1688849992394885	w2_AIUAKAbgAAcaRlYmKn6RHSAk3z1Pn	1688849992394885	1688849992394885	\N	\N
20191223	1688849993340814	w2_AI4AlwbuAAcZVjAuqqZRxeVnBWc0Y	\N	\N	\N	\N
20191224	1688849994352866	w2_AOIACAb_AAc7y2krjC9T8O0HHWuvR	1688849994352866	1688849994352866	\N	\N
20191224	1688849994352866	w2_AOIACAb_AAc7y2krjC9T8O0HHWuvR	1688849994352866	1688849994352866	\N	\N
20191224	1688849994352866	e2_AOIACAb_AAcBHQC6SonQ6akiflG8c	1688849994352866	1688849994352866	\N	\N
20191224	1688849994352866	e2_AOIACAb_AAcBHQC6SonQ6akiflG8c	1688849994352866	1688849994352866	\N	\N
20191224	1688849994370773	e2_ANUATgb_AAcUxyRzdL0RRqaE97WSn	1688849994370773	\N	1688849994370773	\N
20191224	1688849994370773	e2_ANUATgb_AAcUxyRzdL0RRqaE97WSn	1688849994370773	\N	1688849994370773	\N
20191224	1688849994381570	w2_AAIAeQb_AAc5Pq9AjReR5Ssz6o57j	1688849994381570	1688849994381570	\N	\N
20191224	1688849994381570	w2_AAIAeQb_AAc5Pq9AjReR5Ssz6o57j	1688849994381570	1688849994381570	\N	\N
20191224	1688849994381570	w2_AAIAeQb_AAc5Pq9AjReR5Ssz6o57j	1688849994381570	1688849994381570	\N	\N
20191224	1688849994381570	w2_AAIAeQb_AAc5Pq9AjReR5Ssz6o57j	1688849994381570	1688849994381570	\N	\N
20191224	1688849995514792	e2_AKgAwwYPAAgMrZMzctISAi59Wk2K8	1688849995514792	\N	\N	\N
20191224	1688849995520186	w2_ALoA2AYPAAgcX1CUZz0RJyfomff91	1688849995520186	\N	\N	\N
20191224	1688849995520186	w2_ALoA2AYPAAgcX1CUZz0RJyfomff91	1688849995520186	\N	\N	\N
20191224	1688849995520186	e2_ALoA2AYPAAgPpdUnjZFTN6Xs7JXO3	1688849995520186	\N	\N	\N
20191224	1688849995520186	e2_ALoA2AYPAAgPpdUnjZFTN6Xs7JXO3	1688849995520186	\N	\N	\N
20191223	1688849996312250	e2_ALoA7gYbAAgJO3cG7URSqCJK9kIgX	\N	\N	\N	\N
20191223	1688849996312250	w2_ALoA7gYbAAgnkvSJYRQTyWdaSGmCq	\N	\N	\N	\N
20191223	1688849996312250	w2_ALoA7gYbAAgKU9R1JErSrC3x3K1Ug	\N	\N	\N	\N
20191223	1688849996312250	e2_ALoA7gYbAAg0PeWuvMZQsC9P9Oygy	\N	\N	\N	\N
20191223	1688849996312250	e2_ALoA7gYbAAg4FsGOhzAReasLYv15j	\N	\N	\N	\N
20191224	1688849996354184	w2_AIgAkgYcAAgt0FbrjmVRJCQl6fzVV	1688849996354184	\N	\N	\N
20191224	1688849996354184	w2_AIgAkgYcAAgt0FbrjmVRJCQl6fzVV	1688849996354184	\N	\N	\N
20191224	1688849996364021	w2_APUAuAYcAAg9Tk0F8kOSxeefFuTNb	1688849996364021	\N	\N	\N
