ds	vid	docid	20191224	20191225	20191226	20191227
20191224	1688850185884962		1688850185884962	1688850185884962	\N	\N
20191223	1688850186333869		\N	\N	\N	\N
20191223	1688850187371308		\N	\N	\N	\N
20191224	1688850187534643		1688850187534643	\N	\N	\N
20191223	1688850187560549		\N	\N	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188302537		1688850188302537	1688850188302537	\N	\N
20191224	1688850188485654		1688850188485654	1688850188485654	1688850188485654	\N
20191224	1688850188485654		1688850188485654	1688850188485654	1688850188485654	\N
20191224	1688850188499886		1688850188499886	1688850188499886	1688850188499886	1688850188499886
20191224	1688850188499886		1688850188499886	1688850188499886	1688850188499886	1688850188499886
20191223	1688850188770309		\N	\N	\N	\N
20191224	1688850189606591		1688850189606591	\N	\N	\N
20191224	1688850189606591		1688850189606591	\N	\N	\N
20191223	1688850189785895		\N	\N	1688850189785895	\N
20191223	1688850189785895		\N	\N	1688850189785895	\N
20191223	1688850190172508		\N	\N	\N	\N
20191224	1688850191300402		1688850191300402	\N	\N	\N
20191224	1688850191300402		1688850191300402	\N	\N	\N
20191224	1688850191300438		1688850191300438	\N	\N	\N
20191223	1688850191420043		1688850191420043	1688850191420043	\N	\N
20191224	1688850191619227		1688850191619227	\N	\N	\N
20191224	1688850191677355		1688850191677355	\N	\N	\N
20191224	1688850191678159		1688850191678159	\N	\N	\N
20191223	1688850191678186		1688850191678186	\N	\N	1688850191678186
20191223	1688850191678186		1688850191678186	\N	\N	1688850191678186
20191224	1688850191680778		1688850191680778	\N	\N	1688850191680778
20191224	1688850191680778		1688850191680778	\N	\N	1688850191680778
20191224	1688850191680778		1688850191680778	\N	\N	1688850191680778
20191224	1688850191680778		1688850191680778	\N	\N	1688850191680778
20191224	1688850191681380		1688850191681380	1688850191681380	\N	1688850191681380
20191224	1688850191681380		1688850191681380	1688850191681380	\N	1688850191681380
20191223	1688850191815609		1688850191815609	\N	\N	\N
20191223	1688850191815609		1688850191815609	\N	\N	\N
20191223	1688850192339807		\N	\N	\N	\N
20191223	1688850192398776		\N	\N	\N	\N
20191223	1688850192407405		\N	\N	\N	\N
20191224	1688850192509898		1688850192509898	1688850192509898	1688850192509898	1688850192509898
20191223	1688850192560450		\N	\N	\N	\N
20191223	1688850192564842		\N	\N	\N	\N
20191223	1688850192612428		\N	\N	\N	\N
20191224	1688850192631910		1688850192631910	1688850192631910	\N	\N
20191223	1688850192736852		\N	\N	\N	\N
20191223	1688850192803484		\N	\N	\N	\N
20191223	1688850192880231		\N	\N	\N	\N
20191224	1688850193012342		1688850193012342	\N	\N	\N
20191223	1688850193026101		\N	\N	\N	\N
20191224	1688850193026402		1688850193026402	\N	\N	\N
20191223	1688850193035443		\N	\N	\N	\N
20191223	1688850193037289		\N	\N	\N	\N
20191224	1688850193040677		1688850193040677	\N	\N	\N
20191223	1688850193109669		\N	\N	\N	\N
20191223	1688850193130879		\N	\N	\N	\N
20191223	1688850193140462		\N	\N	\N	\N
20191223	1688850193142891		\N	\N	\N	\N
20191224	1688850193143167		1688850193143167	1688850193143167	\N	\N
20191223	1688850193143796		\N	\N	\N	\N
20191224	1688850193148892		1688850193148892	\N	\N	\N
20191224	1688850193570876		1688850193570876	\N	\N	\N
20191223	1688850195735953		1688850195735953	\N	\N	\N
20191224	1688850195815207		1688850195815207	\N	\N	\N
20191224	1688850195815207		1688850195815207	\N	\N	\N
20191224	1688850196450783		1688850196450783	\N	\N	\N
20191224	1688850196450783		1688850196450783	\N	\N	\N
20191223	1688850198324577		\N	\N	\N	\N
20191224	1688850198575274		1688850198575274	1688850198575274	1688850198575274	1688850198575274
20191224	1688850198575274		1688850198575274	1688850198575274	1688850198575274	1688850198575274
20191224	1688850199901396		1688850199901396	\N	\N	1688850199901396
20191224	1688850201305619		1688850201305619	\N	\N	\N
20191224	1688850201305619		1688850201305619	\N	\N	\N
20191223	1688850203344888		1688850203344888	1688850203344888	\N	1688850203344888
20191224	1688850203344896		1688850203344896	1688850203344896	1688850203344896	1688850203344896
20191224	1688850204048345		1688850204048345	1688850204048345	\N	\N
20191224	1688850204048345		1688850204048345	1688850204048345	\N	\N
20191224	1688850207464038		1688850207464038	\N	\N	\N
20191224	1688850208594364		1688850208594364	\N	\N	\N
20191223	1688850208740257		\N	\N	\N	\N
20191224	1688850209817069		1688850209817069	\N	\N	\N
20191224	1688850209817069		1688850209817069	\N	\N	\N
20191223	1688850210779547		1688850210779547	1688850210779547	1688850210779547	\N
20191223	1688850211032789		1688850211032789	\N	1688850211032789	1688850211032789
20191223	1688850211032789		1688850211032789	\N	1688850211032789	1688850211032789
20191224	1688850211289447		1688850211289447	\N	\N	\N
